,feat_selection,model,data_partition,feat_set,MAPE,MAE,RMSE
1,Pearson,LR,padrão,1,0.2913,3.9994,4.8699
2,Pearson,LR,padrão,2,0.2887,3.9507,4.7465
3,Pearson,LR,padrão,3,0.2818,3.8314,4.6691
4,Pearson,LR,padrão,4,0.2751,3.6953,4.4827
5,Pearson,LR,padrão,5,0.2716,3.6931,4.4791
6,Pearson,LR,padrão,6,0.2735,3.7384,4.5305
7,Pearson,LR,padrão,7,0.275,3.7659,4.5592
8,Pearson,LR,padrão,8,0.2753,3.7852,4.5733
9,Pearson,LR,padrão,9,0.2806,3.8571,4.6556
10,Pearson,LR,padrão,10,0.2797,3.8051,4.5831
11,Pearson,LR,padrão,11,0.2787,3.8284,4.6231
12,Pearson,LR,padrão,12,0.2791,3.8315,4.6417
13,Pearson,LR,padrão,13,0.2819,3.8864,4.7216
14,Pearson,DT,padrão,1,0.3922,5.3875,6.6527
15,Pearson,DT,padrão,2,0.4188,5.8135,7.1868
16,Pearson,DT,padrão,3,0.3947,5.6566,7.0104
17,Pearson,DT,padrão,4,0.3719,5.4959,6.5483
18,Pearson,DT,padrão,5,0.3438,5.2034,6.6723
19,Pearson,DT,padrão,6,0.3759,5.1906,6.5765
20,Pearson,DT,padrão,7,0.3842,5.2076,6.5964
21,Pearson,DT,padrão,8,0.3794,4.9907,6.3423
22,Pearson,DT,padrão,9,0.3545,4.9495,5.9351
23,Pearson,DT,padrão,10,0.3801,5.1356,6.2023
24,Pearson,DT,padrão,11,0.37,5.1926,6.2903
25,Pearson,DT,padrão,12,0.3456,5.1081,6.1401
26,Pearson,DT,padrão,13,0.3545,4.8704,6.0709
27,Pearson,RF,padrão,1,0.3397,4.7497,5.7932
28,Pearson,RF,padrão,2,0.3224,4.4342,5.3323
29,Pearson,RF,padrão,3,0.319,4.5174,5.3712
30,Pearson,RF,padrão,4,0.3109,4.3708,5.251
31,Pearson,RF,padrão,5,0.3113,4.3403,5.2148
32,Pearson,RF,padrão,6,0.3107,4.2773,5.1603
33,Pearson,RF,padrão,7,0.3119,4.3008,5.1738
34,Pearson,RF,padrão,8,0.3104,4.2695,5.1533
35,Pearson,RF,padrão,9,0.3059,4.2366,5.12
36,Pearson,RF,padrão,10,0.3048,4.1974,5.0695
37,Pearson,RF,padrão,11,0.2968,4.0965,5.033
38,Pearson,RF,padrão,12,0.2919,4.0915,5.0153
39,Pearson,RF,padrão,13,0.2904,4.0057,4.9197
40,Pearson,XGB,padrão,1,0.3698,5.2139,6.3656
41,Pearson,XGB,padrão,2,0.3614,4.9824,6.082
42,Pearson,XGB,padrão,3,0.3311,4.9853,6.0276
43,Pearson,XGB,padrão,4,0.3147,4.5505,5.3902
44,Pearson,XGB,padrão,5,0.3333,4.7036,5.6264
45,Pearson,XGB,padrão,6,0.3326,4.649,5.5451
46,Pearson,XGB,padrão,7,0.3195,4.5491,5.4887
47,Pearson,XGB,padrão,8,0.3081,4.4538,5.4463
48,Pearson,XGB,padrão,9,0.3078,4.4803,5.4236
49,Pearson,XGB,padrão,10,0.2975,4.3219,5.3062
50,Pearson,XGB,padrão,11,0.3056,4.3628,5.3139
51,Pearson,XGB,padrão,12,0.3033,4.324,5.2222
52,Pearson,XGB,padrão,13,0.3108,4.3347,5.2171
53,Pearson,SVM,padrão,1,0.3347,4.337,5.4101
54,Pearson,SVM,padrão,2,0.3486,4.4577,5.5524
55,Pearson,SVM,padrão,3,0.3534,4.5351,5.65
56,Pearson,SVM,padrão,4,0.353,4.553,5.685
57,Pearson,SVM,padrão,5,0.3579,4.6929,5.8289
58,Pearson,SVM,padrão,6,0.372,4.891,6.0671
59,Pearson,SVM,padrão,7,0.38,4.9531,6.1477
60,Pearson,SVM,padrão,8,0.3847,5.0151,6.2059
61,Pearson,SVM,padrão,9,0.3811,4.956,6.16
62,Pearson,SVM,padrão,10,0.3874,5.0395,6.2295
63,Pearson,SVM,padrão,11,0.381,4.9624,6.1479
64,Pearson,SVM,padrão,12,0.3804,4.9906,6.176
65,Pearson,SVM,padrão,13,0.3859,5.0294,6.2094
66,Pearson,LR,<=100,1,0.2911,4.038,4.9109
67,Pearson,LR,<=100,2,0.2891,4.0014,4.853
68,Pearson,LR,<=100,3,0.2825,3.9598,4.7655
69,Pearson,LR,<=100,4,0.2711,3.795,4.5966
70,Pearson,LR,<=100,5,0.2723,3.8502,4.5917
71,Pearson,LR,<=100,6,0.2743,3.8924,4.6268
72,Pearson,LR,<=100,7,0.2809,3.9484,4.6449
73,Pearson,LR,<=100,8,0.2791,3.9612,4.6503
74,Pearson,LR,<=100,9,0.2795,3.9762,4.6774
75,Pearson,LR,<=100,10,0.2774,3.9209,4.6122
76,Pearson,LR,<=100,11,0.2722,3.8973,4.6138
77,Pearson,LR,<=100,12,0.2745,3.9712,4.7311
78,Pearson,LR,<=100,13,0.2803,3.9827,4.6772
79,Pearson,DT,<=100,1,0.3904,5.5218,6.848
80,Pearson,DT,<=100,2,0.3593,5.1268,6.2784
81,Pearson,DT,<=100,3,0.3746,5.4631,6.9762
82,Pearson,DT,<=100,4,0.3685,5.4672,6.5051
83,Pearson,DT,<=100,5,0.3741,5.3358,6.5656
84,Pearson,DT,<=100,6,0.3917,5.5955,6.8769
85,Pearson,DT,<=100,7,0.3854,5.6932,6.8899
86,Pearson,DT,<=100,8,0.3574,5.3126,6.6536
87,Pearson,DT,<=100,9,0.3897,5.5483,6.3228
88,Pearson,DT,<=100,10,0.3938,5.5091,6.8146
89,Pearson,DT,<=100,11,0.406,6.0271,6.9284
90,Pearson,DT,<=100,12,0.4232,5.8229,6.9722
91,Pearson,DT,<=100,13,0.3751,5.2477,6.5627
92,Pearson,RF,<=100,1,0.356,5.0177,6.0675
93,Pearson,RF,<=100,2,0.3215,4.368,5.2199
94,Pearson,RF,<=100,3,0.3229,4.4415,5.267
95,Pearson,RF,<=100,4,0.3167,4.3808,5.1358
96,Pearson,RF,<=100,5,0.3203,4.4183,5.1978
97,Pearson,RF,<=100,6,0.3172,4.4036,5.1667
98,Pearson,RF,<=100,7,0.3281,4.4495,5.2201
99,Pearson,RF,<=100,8,0.3174,4.3568,5.1278
100,Pearson,RF,<=100,9,0.3242,4.444,5.2307
101,Pearson,RF,<=100,10,0.3179,4.402,5.15
102,Pearson,RF,<=100,11,0.313,4.3437,5.1032
103,Pearson,RF,<=100,12,0.309,4.2798,5.0959
104,Pearson,RF,<=100,13,0.3077,4.1925,4.9713
105,Pearson,XGB,<=100,1,0.3901,5.5153,6.624
106,Pearson,XGB,<=100,2,0.3442,4.8905,5.8975
107,Pearson,XGB,<=100,3,0.3323,4.8869,5.9202
108,Pearson,XGB,<=100,4,0.3098,4.4198,5.3406
109,Pearson,XGB,<=100,5,0.3456,4.901,5.764
110,Pearson,XGB,<=100,6,0.323,4.5815,5.5212
111,Pearson,XGB,<=100,7,0.3255,4.6462,5.5914
112,Pearson,XGB,<=100,8,0.3179,4.5828,5.5107
113,Pearson,XGB,<=100,9,0.3347,4.7445,5.7257
114,Pearson,XGB,<=100,10,0.324,4.6811,5.5881
115,Pearson,XGB,<=100,11,0.3275,4.7231,5.679
116,Pearson,XGB,<=100,12,0.3206,4.6005,5.5195
117,Pearson,XGB,<=100,13,0.3258,4.6703,5.6305
118,Pearson,SVM,<=100,1,0.3542,4.5503,5.4309
119,Pearson,SVM,<=100,2,0.3665,4.6425,5.5623
120,Pearson,SVM,<=100,3,0.3751,4.8435,5.8325
121,Pearson,SVM,<=100,4,0.3677,4.8002,5.7963
122,Pearson,SVM,<=100,5,0.3751,4.8172,5.821
123,Pearson,SVM,<=100,6,0.3813,4.886,5.9019
124,Pearson,SVM,<=100,7,0.3924,4.9602,6.0237
125,Pearson,SVM,<=100,8,0.4011,5.0572,6.1123
126,Pearson,SVM,<=100,9,0.3997,5.0596,6.1263
127,Pearson,SVM,<=100,10,0.3967,5.0343,6.1149
128,Pearson,SVM,<=100,11,0.3914,4.9516,5.9807
129,Pearson,SVM,<=100,12,0.3916,4.9669,5.9869
130,Pearson,SVM,<=100,13,0.3907,4.9694,5.9564
131,Pearson,LR,>100,1,0.0968,2.4596,2.9037
132,Pearson,LR,>100,2,0.1128,2.7915,3.2596
133,Pearson,LR,>100,3,0.1168,2.9199,3.3967
134,Pearson,LR,>100,4,0.16,3.9591,4.4642
135,Pearson,LR,>100,5,0.1518,3.9803,4.5082
136,Pearson,LR,>100,6,0.1788,4.8338,5.6777
137,Pearson,LR,>100,7,0.0902,2.471,2.8064
138,Pearson,LR,>100,8,0.2327,6.0412,6.4113
139,Pearson,LR,>100,9,0.4123,10.5649,12.0909
140,Pearson,LR,>100,10,0.2269,6.0875,7.2306
141,Pearson,LR,>100,11,0.253,6.8097,8.2391
142,Pearson,LR,>100,12,0.272,7.327,8.7681
143,Pearson,LR,>100,13,0.2551,6.9158,8.264
144,Pearson,DT,>100,1,0.1782,4.3367,4.7238
145,Pearson,DT,>100,2,0.2114,5.24,5.5766
146,Pearson,DT,>100,3,0.2363,5.8767,6.0095
147,Pearson,DT,>100,4,0.2607,5.6467,6.1736
148,Pearson,DT,>100,5,0.254,5.81,6.1872
149,Pearson,DT,>100,6,0.2495,6.27,6.3357
150,Pearson,DT,>100,7,0.287,6.6033,7.0396
151,Pearson,DT,>100,8,0.2782,6.69,6.9015
152,Pearson,DT,>100,9,0.2466,6.0267,6.6964
153,Pearson,DT,>100,10,0.2656,6.0067,7.0291
154,Pearson,DT,>100,11,0.2269,6.7167,5.967
155,Pearson,DT,>100,12,0.25,5.6667,6.8047
156,Pearson,DT,>100,13,0.2867,6.0567,5.777
157,Pearson,RF,>100,1,0.1388,3.3706,3.6122
158,Pearson,RF,>100,2,0.1697,4.1145,4.3315
159,Pearson,RF,>100,3,0.1583,3.7917,4.0162
160,Pearson,RF,>100,4,0.1617,3.773,4.0509
161,Pearson,RF,>100,5,0.1661,3.8655,4.1203
162,Pearson,RF,>100,6,0.1725,4.119,4.3134
163,Pearson,RF,>100,7,0.1795,4.2429,4.472
164,Pearson,RF,>100,8,0.178,4.2102,4.4688
165,Pearson,RF,>100,9,0.1751,4.1852,4.5009
166,Pearson,RF,>100,10,0.1602,3.7788,4.1828
167,Pearson,RF,>100,11,0.1788,4.282,4.6821
168,Pearson,RF,>100,12,0.1713,4.1246,4.5081
169,Pearson,RF,>100,13,0.1669,4.0155,4.5095
170,Pearson,XGB,>100,1,0.1782,4.336,4.7229
171,Pearson,XGB,>100,2,0.1697,4.1149,4.4849
172,Pearson,XGB,>100,3,0.1631,4.0542,4.636
173,Pearson,XGB,>100,4,0.1508,3.6684,4.1991
174,Pearson,XGB,>100,5,0.1533,3.7066,4.1958
175,Pearson,XGB,>100,6,0.1603,3.8551,4.3493
176,Pearson,XGB,>100,7,0.1474,3.5464,4.0147
177,Pearson,XGB,>100,8,0.1516,3.6539,4.1141
178,Pearson,XGB,>100,9,0.1511,3.6474,4.1068
179,Pearson,XGB,>100,10,0.1325,3.1744,3.5402
180,Pearson,XGB,>100,11,0.1331,3.1896,3.5652
181,Pearson,XGB,>100,12,0.1326,3.1626,3.5606
182,Pearson,XGB,>100,13,0.1342,3.2311,3.66
183,Pearson,SVM,>100,1,0.2175,5.4349,5.9428
184,Pearson,SVM,>100,2,0.2353,5.9264,6.3964
185,Pearson,SVM,>100,3,0.2402,6.0226,6.5568
186,Pearson,SVM,>100,4,0.2463,6.2576,6.8008
187,Pearson,SVM,>100,5,0.2452,6.2725,6.9107
188,Pearson,SVM,>100,6,0.2439,6.2143,6.8408
189,Pearson,SVM,>100,7,0.2544,6.5103,7.0422
190,Pearson,SVM,>100,8,0.2585,6.6023,7.1022
191,Pearson,SVM,>100,9,0.2588,6.618,7.1242
192,Pearson,SVM,>100,10,0.2587,6.6184,7.1185
193,Pearson,SVM,>100,11,0.2531,6.4882,7.0264
194,Pearson,SVM,>100,12,0.2553,6.539,7.0764
195,Pearson,SVM,>100,13,0.2514,6.4465,6.9843
196,Lasso,LR,padrão,1,0.2913,3.9994,4.8699
197,Lasso,LR,padrão,2,0.2739,3.7117,4.4932
198,Lasso,LR,padrão,3,0.2712,3.6492,4.3782
199,Lasso,LR,padrão,4,0.2717,3.657,4.3791
200,Lasso,LR,padrão,5,0.2713,3.6714,4.4157
201,Lasso,LR,padrão,6,0.2708,3.6754,4.4267
202,Lasso,LR,padrão,7,0.2724,3.7155,4.484
203,Lasso,LR,padrão,8,0.2755,3.7658,4.5451
204,Lasso,LR,padrão,9,0.2731,3.7654,4.5387
205,Lasso,LR,padrão,10,0.2764,3.8125,4.6068
206,Lasso,LR,padrão,11,0.2785,3.8451,4.6652
207,Lasso,LR,padrão,12,0.2819,3.8887,4.7089
208,Lasso,LR,padrão,13,0.2819,3.8864,4.7216
209,Lasso,DT,padrão,1,0.3922,5.3875,6.6527
210,Lasso,DT,padrão,2,0.3931,5.8697,7.1857
211,Lasso,DT,padrão,3,0.3621,5.1684,6.7929
212,Lasso,DT,padrão,4,0.3634,5.2225,6.6543
213,Lasso,DT,padrão,5,0.3786,5.6714,6.756
214,Lasso,DT,padrão,6,0.3715,5.4458,6.5417
215,Lasso,DT,padrão,7,0.4109,5.548,6.6811
216,Lasso,DT,padrão,8,0.3683,5.3035,6.3376
217,Lasso,DT,padrão,9,0.3836,5.3528,6.0288
218,Lasso,DT,padrão,10,0.3631,5.0951,6.1238
219,Lasso,DT,padrão,11,0.3719,5.1369,6.1482
220,Lasso,DT,padrão,12,0.3622,4.9459,6.2557
221,Lasso,DT,padrão,13,0.3451,5.0018,6.2578
222,Lasso,RF,padrão,1,0.3397,4.7497,5.7932
223,Lasso,RF,padrão,2,0.3141,4.3698,5.352
224,Lasso,RF,padrão,3,0.2972,4.1287,5.0644
225,Lasso,RF,padrão,4,0.2998,4.1125,5.097
226,Lasso,RF,padrão,5,0.2951,4.0599,5.0639
227,Lasso,RF,padrão,6,0.3018,4.167,5.1646
228,Lasso,RF,padrão,7,0.2978,4.0189,4.996
229,Lasso,RF,padrão,8,0.2865,3.9588,4.8647
230,Lasso,RF,padrão,9,0.2875,3.9399,4.8687
231,Lasso,RF,padrão,10,0.287,3.9124,4.8492
232,Lasso,RF,padrão,11,0.2934,4.0201,4.938
233,Lasso,RF,padrão,12,0.2917,3.9792,4.9087
234,Lasso,RF,padrão,13,0.2892,3.9753,4.8942
235,Lasso,XGB,padrão,1,0.3698,5.2139,6.3656
236,Lasso,XGB,padrão,2,0.3292,4.8468,6.0794
237,Lasso,XGB,padrão,3,0.31,4.3798,5.4043
238,Lasso,XGB,padrão,4,0.329,4.5267,5.4788
239,Lasso,XGB,padrão,5,0.2965,4.3507,5.4395
240,Lasso,XGB,padrão,6,0.3,4.3446,5.4034
241,Lasso,XGB,padrão,7,0.3237,4.482,5.5085
242,Lasso,XGB,padrão,8,0.3058,4.3015,5.2895
243,Lasso,XGB,padrão,9,0.3064,4.2298,5.1307
244,Lasso,XGB,padrão,10,0.3126,4.3335,5.2342
245,Lasso,XGB,padrão,11,0.3182,4.4193,5.2796
246,Lasso,XGB,padrão,12,0.318,4.4591,5.385
247,Lasso,XGB,padrão,13,0.2998,4.27,5.2198
248,Lasso,SVM,padrão,1,0.3347,4.337,5.4101
249,Lasso,SVM,padrão,2,0.3313,4.3736,5.4911
250,Lasso,SVM,padrão,3,0.3447,4.4797,5.6079
251,Lasso,SVM,padrão,4,0.3604,4.669,5.7836
252,Lasso,SVM,padrão,5,0.3679,4.7299,5.8268
253,Lasso,SVM,padrão,6,0.3775,4.8594,5.9587
254,Lasso,SVM,padrão,7,0.3791,4.859,6.0198
255,Lasso,SVM,padrão,8,0.3795,4.894,6.0556
256,Lasso,SVM,padrão,9,0.3738,4.8486,6.0205
257,Lasso,SVM,padrão,10,0.3854,4.9656,6.1336
258,Lasso,SVM,padrão,11,0.3805,4.9244,6.0928
259,Lasso,SVM,padrão,12,0.3856,4.9897,6.163
260,Lasso,SVM,padrão,13,0.3859,5.0294,6.2094
261,Lasso,LR,<=100,1,0.2911,4.038,4.9109
262,Lasso,LR,<=100,2,0.2718,3.8625,4.6174
263,Lasso,LR,<=100,3,0.2683,3.7973,4.5219
264,Lasso,LR,<=100,4,0.2696,3.8138,4.5377
265,Lasso,LR,<=100,5,0.2694,3.8317,4.5594
266,Lasso,LR,<=100,6,0.2675,3.8104,4.5364
267,Lasso,LR,<=100,7,0.2685,3.8027,4.4955
268,Lasso,LR,<=100,8,0.2702,3.8394,4.5381
269,Lasso,LR,<=100,9,0.269,3.8419,4.5491
270,Lasso,LR,<=100,10,0.2719,3.8686,4.5729
271,Lasso,LR,<=100,11,0.2758,3.8698,4.5487
272,Lasso,LR,<=100,12,0.2772,3.9022,4.5768
273,Lasso,LR,<=100,13,0.2803,3.9827,4.6772
274,Lasso,DT,<=100,1,0.3904,5.5218,6.848
275,Lasso,DT,<=100,2,0.3937,5.5395,6.8041
276,Lasso,DT,<=100,3,0.3462,5.302,6.3518
277,Lasso,DT,<=100,4,0.357,5.1323,6.1707
278,Lasso,DT,<=100,5,0.3709,5.3614,6.4095
279,Lasso,DT,<=100,6,0.3783,5.2829,6.5687
280,Lasso,DT,<=100,7,0.3379,4.9237,5.9166
281,Lasso,DT,<=100,8,0.3566,4.8619,6.1639
282,Lasso,DT,<=100,9,0.3392,5.0986,6.1905
283,Lasso,DT,<=100,10,0.3357,4.6045,6.0942
284,Lasso,DT,<=100,11,0.3645,4.8892,6.2942
285,Lasso,DT,<=100,12,0.3765,5.1975,6.2568
286,Lasso,DT,<=100,13,0.3694,5.2488,6.3605
287,Lasso,RF,<=100,1,0.356,5.0177,6.0675
288,Lasso,RF,<=100,2,0.3154,4.4424,5.3745
289,Lasso,RF,<=100,3,0.3053,4.2798,5.0391
290,Lasso,RF,<=100,4,0.3135,4.313,5.0574
291,Lasso,RF,<=100,5,0.3037,4.222,5.0388
292,Lasso,RF,<=100,6,0.312,4.3086,5.1095
293,Lasso,RF,<=100,7,0.3153,4.2178,4.9917
294,Lasso,RF,<=100,8,0.3136,4.2386,4.9746
295,Lasso,RF,<=100,9,0.3109,4.2304,4.9562
296,Lasso,RF,<=100,10,0.3082,4.2141,4.9482
297,Lasso,RF,<=100,11,0.3118,4.2314,4.9681
298,Lasso,RF,<=100,12,0.3144,4.2791,5.0214
299,Lasso,RF,<=100,13,0.3099,4.2046,4.9685
300,Lasso,XGB,<=100,1,0.3901,5.5153,6.624
301,Lasso,XGB,<=100,2,0.3457,4.9886,6.194
302,Lasso,XGB,<=100,3,0.3181,4.606,5.515
303,Lasso,XGB,<=100,4,0.3228,4.5481,5.4965
304,Lasso,XGB,<=100,5,0.3058,4.4323,5.5175
305,Lasso,XGB,<=100,6,0.3104,4.4379,5.5078
306,Lasso,XGB,<=100,7,0.3327,4.4715,5.4754
